,DATE,SpeciesTotal,Month,Day,Obs_Temp,EMNT,EMXT,PRCP,TAVG,TMAX,TMIN
0,1990,5,7,10,64.0,32.5,83.5,5.635,54.3,64.45,44.05
1,1991,6,6,27,49.5,32.0,80.5,2.6149999999999998,52.95,62.8,43.099999999999994
2,1992,17,6,27,63.0,33.0,84.5,1.74,55.150000000000006,66.65,43.599999999999994
3,1993,18,6,24,47.5,26.5,71.0,9.455,44.349999999999994,53.3,35.45
4,1994,12,6,13,48.5,27.5,70.5,9.455,44.400000000000006,53.55,35.25
5,1995,13,6,30,58.0,20.0,63.0,18.014999999999997,39.0,47.800000000000004,30.200000000000003
6,1998,3,6,19,51.0,25.5,62.5,12.194999999999999,39.5,48.05,30.95
7,1999,7,6,27,53.5,23.5,69.5,6.405,39.6,47.400000000000006,31.75
8,2000,4,6,17,60.0,22.5,65.5,15.88,39.1,46.599999999999994,31.599999999999998
9,2001,4,6,18,53.0,28.5,72.0,14.17,44.150000000000006,52.1,36.15
10,2003,5,6,15,54.0,25.5,74.0,2.3449999999999998,45.25,55.45,35.1
11,2006,6,6,14,62.5,24.5,72.5,8.685,42.15,51.050000000000004,33.25
12,2007,11,6,21,65.0,24.5,87.0,5.5649999999999995,53.9,65.9,34.45
13,2008,2,6,19,42.5,26.5,82.0,5.34,46.7,57.1,36.3
14,2009,7,6,19,50.5,29.5,74.5,1.84,48.7,59.35,38.0
15,2010,6,6,23,49.5,29.0,70.0,7.65,45.25,53.55,36.95
16,2011,2,6,21,54.5,33.0,74.5,3.6350000000000002,48.599999999999994,57.35,39.9
17,2012,3,6,23,48.5,32.5,71.5,5.369999999999999,47.05,55.349999999999994,38.8
18,2014,3,6,23,49.0,31.5,76.5,4.53,50.3,60.0,40.6
19,2015,5,6,16,51.5,33.5,86.0,3.395,55.0,67.1,42.900000000000006
20,2016,2,6,21,46.0,34.0,95.0,10.49,55.8,68.4,43.2
21,2018,2,6,21,57.5,23.5,80.5,9.745,47.5,56.4,38.6
22,2019,2,6,11,51.0,35.0,89.0,12.594999999999999,54.7,67.4,42.0
23,2021,1,6,17,44.0,25.5,83.5,3.39,47.95,58.95,36.9
